Matrix,Rows,Columns,nnz,Kernel,Grid_Size,Block_Size,Avg_Time(ms),Avg_Err,GFLOP/s,Bandwidth(GB/s)
consph.mtx,83334,83334,6010480,csr vector,2977,896,0.178586,4.54248e-07,67.312,255.972
consph.mtx,83334,83334,6010480,coo seg,1678,896,0.139162,4.85317e-07,86.3813,487.155
consph.mtx,83334,83334,6010480,coo flat,6477,928,1.07745,4.55096e-07,11.1568,62.9199
consph.mtx,83334,83334,6010480,csr scalar,90,928,0.210432,2.29764e-07,57.1251,217.234
consph.mtx,83334,83334,6010480,csr vector,2874,928,0.178688,4.54248e-07,67.2735,255.825
consph.mtx,83334,83334,6010480,coo seg,1620,928,0.137216,4.85317e-07,87.6061,494.062
consph.mtx,83334,83334,6010480,coo flat,6261,960,1.06158,4.50456e-07,11.3236,63.8607
consph.mtx,83334,83334,6010480,csr scalar,87,960,0.225485,2.29764e-07,53.3116,202.732
consph.mtx,83334,83334,6010480,csr vector,2778,960,0.172646,4.54248e-07,69.6276,264.778
consph.mtx,83334,83334,6010480,coo seg,1566,960,0.13568,4.85317e-07,88.5979,499.655
consph.mtx,83334,83334,6010480,coo flat,6059,992,1.04438,4.49586e-07,11.5102,64.9126
consph.mtx,83334,83334,6010480,csr scalar,85,992,0.23337,2.29764e-07,51.5104,195.882
consph.mtx,83334,83334,6010480,csr vector,2689,992,0.171008,4.54248e-07,70.2947,267.314
consph.mtx,83334,83334,6010480,coo seg,1515,992,0.133632,4.85317e-07,89.9557,507.313
consph.mtx,83334,83334,6010480,coo flat,5870,1024,1.02912,4.46914e-07,11.6808,65.875
consph.mtx,83334,83334,6010480,csr scalar,82,1024,0.248832,2.29764e-07,48.3095,183.71
consph.mtx,83334,83334,6010480,csr vector,2605,1024,0.166707,4.54248e-07,72.1082,274.211
consph.mtx,83334,83334,6010480,coo seg,1468,1024,0.132608,4.85317e-07,90.6503,511.23
consph.mtx,83334,83334,6010480,CuSparse,0,0,0.0837632,4.91958e-07,143.511,545.74
cop20k_A.mtx,121192,121192,2624331,coo flat,82011,32,0.315597,1.2313e-07,16.6309,95.7935
cop20k_A.mtx,121192,121192,2624331,csr scalar,3788,32,0.0720896,9.70613e-08,72.8075,290.017
